Type	File	Dataset	ClusterError	Errors	Score
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-57009508bf7178968ec56a486ef47c24-90703fc96735f7e35b9af7f380d79069, http://dblp.rkbexplorer.com/id/people-57009508bf7178968ec56a486ef47c24-d99085d8fcde442e5358598982bd1b01]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-61eee417872d94eec53bd44eb3b6b936-b4a78e2041bfc34076732cebdb2c147b, http://dblp.rkbexplorer.com/id/people-61eee417872d94eec53bd44eb3b6b936-d31f9b13f1b14f0a95325ac185c9f268]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-639f7a1639751e6ecd4fdb8fe33720f6-0267930624d98ed36f8dfca7f35c6f48, http://dblp.rkbexplorer.com/id/people-639f7a1639751e6ecd4fdb8fe33720f6-b53e8a16c276f207349271c68c2d0f5c]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-694b78109415fda461290b75b1a2b573-a8e64428eb790829d2a429387ed8c697, http://dblp.rkbexplorer.com/id/people-694b78109415fda461290b75b1a2b573-cf7c1a232e56c7f20ed11e5a53355b08]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-6f261b180b55d12033e029e9be71efe8-78b0ec31b907caf3f29dee3d6a5889e8, http://dblp.rkbexplorer.com/id/people-6f261b180b55d12033e029e9be71efe8-7bd84d7d56bee169ba0cd3f67ef4cb6a]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-70768686d1a8b2ed28d0a23605423481-db3490c92816e8347bd6d59e531fe396, http://dblp.rkbexplorer.com/id/people-73f0b81a2fe503c968be6787a882b9af-db3490c92816e8347bd6d59e531fe396]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-7b448147de4c091ced4fe57007fd26ea-3c3aa8788509d40a2127565390dbf25b, http://dblp.rkbexplorer.com/id/people-7b448147de4c091ced4fe57007fd26ea-0c63d7bddac6325101ce74f3c49f4ceb]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-816977e559971d5f6750f55bba2afac8-0925e5c3eb4615a3cb00c1c4a03ef805, http://dblp.rkbexplorer.com/id/people-816977e559971d5f6750f55bba2afac8-bf7695d652015069e5296c40c2d01b9c]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-96525c991fce1aa9b49c3ea960baf442-ee53554e2c1f5051b50b5bd05e26151b, http://dblp.rkbexplorer.com/id/people-96525c991fce1aa9b49c3ea960baf442-10805b1ce0fdda8e179a2f5b43785d91]	2	1
2	dblp.rkbexplorer.com---dblp.rkbexplorer.com.nt	dblp.rkbexplorer.com	[http://dblp.rkbexplorer.com/id/people-97c3cdb76a8cf843838387e85d314e6a-30e0a732bebc02b16b72487bd3449e28, http://dblp.rkbexplorer.com/id/people-97c3cdb76a8cf843838387e85d314e6a-2edeef1d6f181e9809515babb1e336d7]	2	1
